127.0.0.1 - - [15/May/2015:17:33:15 -0400] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [15/May/2015:17:33:32 -0400] "GET /mlm/ HTTP/1.1" 200 2864
0:0:0:0:0:0:0:1 - - [15/May/2015:17:33:32 -0400] "GET /mlm/css/reset.css HTTP/1.1" 200 3878
0:0:0:0:0:0:0:1 - - [15/May/2015:17:33:32 -0400] "GET /mlm/css/index.css HTTP/1.1" 200 2772
0:0:0:0:0:0:0:1 - - [15/May/2015:17:33:32 -0400] "GET /mlm/js/index.js HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [15/May/2015:17:33:32 -0400] "GET /mlm/images/cover/makemoney.png HTTP/1.1" 200 1118536
0:0:0:0:0:0:0:1 - - [15/May/2015:17:33:32 -0400] "GET /mlm/images/cover/changelife2.jpg HTTP/1.1" 200 65876
0:0:0:0:0:0:0:1 - - [15/May/2015:17:33:32 -0400] "GET /mlm/images/cover/changelife1.jpg HTTP/1.1" 200 12024
0:0:0:0:0:0:0:1 - - [15/May/2015:17:33:32 -0400] "GET /mlm/images/cover/happy.jpg HTTP/1.1" 200 87332
0:0:0:0:0:0:0:1 - - [15/May/2015:17:33:35 -0400] "GET /mlm/images/logo/arrow1.png HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [15/May/2015:17:33:35 -0400] "GET /mlm/images/logo/logo-new.png HTTP/1.1" 200 21101
0:0:0:0:0:0:0:1 - - [15/May/2015:17:33:52 -0400] "GET /mlm/um/login.jsp HTTP/1.1" 200 6136
0:0:0:0:0:0:0:1 - - [15/May/2015:17:33:52 -0400] "GET /mlm/css/style.css HTTP/1.1" 200 1595
0:0:0:0:0:0:0:1 - - [15/May/2015:17:33:52 -0400] "GET /mlm/js/login.js HTTP/1.1" 200 3880
0:0:0:0:0:0:0:1 - - [15/May/2015:17:33:52 -0400] "GET /mlm/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2015:17:33:52 -0400] "GET /mlm/images/logo/logo-new.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2015:17:33:52 -0400] "GET /mlm/images/header7.jpg HTTP/1.1" 200 51819
0:0:0:0:0:0:0:1 - - [15/May/2015:17:34:19 -0400] "GET /mlm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/May/2015:17:34:19 -0400] "GET /mlm/ HTTP/1.1" 200 2864
0:0:0:0:0:0:0:1 - - [15/May/2015:17:34:19 -0400] "GET /mlm/css/reset.css HTTP/1.1" 200 3878
