127.0.0.1 - - [17/Jun/2015:22:50:19 -0400] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [17/Jun/2015:22:50:23 -0400] "GET /mlm/includes/header-nav.jsp HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [17/Jun/2015:22:50:24 -0400] "GET /mlm/images/logo/logo-new.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2015:22:56:12 -0400] "GET /mlm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2015:22:56:12 -0400] "GET /mlm/ HTTP/1.1" 200 2864
0:0:0:0:0:0:0:1 - - [17/Jun/2015:22:56:12 -0400] "GET /mlm/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2015:22:56:12 -0400] "GET /mlm/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2015:22:56:12 -0400] "GET /mlm/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2015:22:56:12 -0400] "GET /mlm/images/cover/changelife2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2015:22:56:13 -0400] "GET /mlm/images/cover/makemoney.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2015:22:56:13 -0400] "GET /mlm/images/cover/changelife1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2015:22:56:13 -0400] "GET /mlm/images/cover/happy.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2015:22:56:13 -0400] "GET /mlm/images/logo/logo-new.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2015:22:56:13 -0400] "GET /mlm/images/logo/arrow1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2015:22:56:17 -0400] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [17/Jun/2015:22:57:01 -0400] "GET /mlm/um/login.jsp HTTP/1.1" 200 6138
0:0:0:0:0:0:0:1 - - [17/Jun/2015:22:57:01 -0400] "GET /mlm/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2015:22:57:01 -0400] "GET /mlm/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2015:22:57:01 -0400] "GET /mlm/images/header7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2015:22:57:05 -0400] "POST /mlm/doLogin HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [17/Jun/2015:22:57:06 -0400] "GET /mlm/home HTTP/1.1" 200 9362
0:0:0:0:0:0:0:1 - - [17/Jun/2015:22:57:06 -0400] "GET /mlm/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2015:22:57:06 -0400] "GET /mlm/js/home.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2015:22:57:06 -0400] "POST /mlm/user HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [17/Jun/2015:22:57:11 -0400] "GET /mlm/common/aboutus HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [17/Jun/2015:22:57:21 -0400] "POST /mlm/user HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [17/Jun/2015:22:57:25 -0400] "POST /mlm/user HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:01:58 -0400] "GET /mlm/common/aboutus HTTP/1.1" 200 6187
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:01:58 -0400] "GET /mlm/css/aboutus.css HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:01:58 -0400] "GET /mlm/js/aboutus.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:02:06 -0400] "GET /mlm/common/contactus HTTP/1.1" 200 6577
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:02:06 -0400] "GET /mlm/js/contactus.js HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:02:06 -0400] "GET /mlm/css/contactus.css HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:02:09 -0400] "GET /mlm/common/aboutus HTTP/1.1" 200 6187
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:02:09 -0400] "GET /mlm/css/aboutus.css HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:02:09 -0400] "GET /mlm/js/aboutus.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:02:17 -0400] "GET /mlm/common/contactus HTTP/1.1" 200 6577
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:02:20 -0400] "GET /mlm/common/aboutus HTTP/1.1" 200 6187
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:02:20 -0400] "GET /mlm/css/aboutus.css HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:02:20 -0400] "GET /mlm/js/aboutus.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:08:39 -0400] "GET /mlm/home HTTP/1.1" 200 9362
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:08:40 -0400] "POST /mlm/user HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:08:43 -0400] "GET /mlm/editprofile HTTP/1.1" 200 15269
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:08:43 -0400] "GET /mlm/js/editprofile.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:08:44 -0400] "POST /mlm//user HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:08:47 -0400] "GET /mlm/common/aboutus HTTP/1.1" 200 6187
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:08:47 -0400] "GET /mlm/js/aboutus.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:08:47 -0400] "GET /mlm/css/aboutus.css HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:20 -0400] "GET /mlm/home HTTP/1.1" 200 9362
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:20 -0400] "POST /mlm/user HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:26 -0400] "GET /mlm/common/aboutus HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:26 -0400] "GET /mlm/css/aboutus.css HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:26 -0400] "GET /mlm/js/aboutus.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:31 -0400] "GET /mlm/products HTTP/1.1" 200 7432
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:31 -0400] "GET /mlm/js/products.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:31 -0400] "GET /mlm/js/mlm.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:31 -0400] "POST /mlm/common/category HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:32 -0400] "POST /mlm/productList HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:33 -0400] "POST /mlm/common/shoppingCartSummary HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:33 -0400] "GET /mlm/images/products/1430061933579.jpg HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:33 -0400] "GET /mlm/images/products/1430073376837.jpg HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:33 -0400] "GET /mlm/images/products/1431196408229.png HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:33 -0400] "GET /mlm/common/aboutus HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:33 -0400] "GET /mlm/css/aboutus.css HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:33 -0400] "GET /mlm/js/aboutus.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:34 -0400] "GET /mlm/common/aboutus HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:34 -0400] "GET /mlm/css/aboutus.css HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:34 -0400] "GET /mlm/js/aboutus.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:35 -0400] "GET /mlm/products HTTP/1.1" 200 7432
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:36 -0400] "POST /mlm/common/category HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:36 -0400] "POST /mlm/productList HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:37 -0400] "POST /mlm/common/shoppingCartSummary HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:37 -0400] "GET /mlm/images/products/1430061933579.jpg HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:37 -0400] "GET /mlm/images/products/1430073376837.jpg HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:37 -0400] "GET /mlm/images/products/1431196408229.png HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:37 -0400] "GET /mlm/common/aboutus HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:37 -0400] "GET /mlm/css/aboutus.css HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:37 -0400] "GET /mlm/js/aboutus.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:39 -0400] "GET /mlm/products HTTP/1.1" 200 7432
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:39 -0400] "POST /mlm/common/category HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:40 -0400] "POST /mlm/productList HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:40 -0400] "POST /mlm/common/shoppingCartSummary HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:40 -0400] "GET /mlm/images/products/1430061933579.jpg HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:40 -0400] "GET /mlm/images/products/1430073376837.jpg HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:40 -0400] "GET /mlm/images/products/1431196408229.png HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:41 -0400] "GET /mlm/common/aboutus HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:41 -0400] "GET /mlm/css/aboutus.css HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:41 -0400] "GET /mlm/js/aboutus.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:44 -0400] "GET /mlm/common/contactus HTTP/1.1" 200 6577
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:10:49 -0400] "GET /mlm/selectAutoship HTTP/1.1" 200 6213
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:11:03 -0400] "GET /mlm/login HTTP/1.1" 200 6154
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:11:05 -0400] "GET /mlm/logout HTTP/1.1" 404 971
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:11:12 -0400] "GET /mlm/common/aboutus HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:11:12 -0400] "GET /mlm/js/aboutus.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:11:12 -0400] "GET /mlm/css/aboutus.css HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:19:25 -0400] "GET /mlm/common/aboutus HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:19:26 -0400] "GET /mlm/js/aboutus.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:19:26 -0400] "GET /mlm/css/aboutus.css HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:21:29 -0400] "GET /mlm/common/aboutus HTTP/1.1" 200 4289
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:21:29 -0400] "GET /mlm/css/aboutus.css HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:21:29 -0400] "GET /mlm/js/aboutus.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:21:35 -0400] "GET /mlm/common/contactus HTTP/1.1" 200 6577
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:21:40 -0400] "GET /mlm/common/aboutus HTTP/1.1" 200 4289
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:21:40 -0400] "GET /mlm/css/aboutus.css HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:21:40 -0400] "GET /mlm/js/aboutus.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:21:47 -0400] "GET /mlm/common/contactus HTTP/1.1" 200 6577
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:21:49 -0400] "GET /mlm/common/aboutus HTTP/1.1" 200 4289
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:21:50 -0400] "GET /mlm/js/aboutus.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:21:50 -0400] "GET /mlm/css/aboutus.css HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:23:35 -0400] "GET /mlm/common/aboutus HTTP/1.1" 200 4289
0:0:0:0:0:0:0:1 - - [17/Jun/2015:23:23:35 -0400] "GET /mlm/css/aboutus.css HTTP/1.1" 404 989
